1,ヒンダーのリードボーカルは、トイレで便秘しているときにしか録音しないというのは本当ですか？彼の声はそう聞こえる。天使の唇」の歌い方は、彼の顔を殴りたくなる！このグループを聴くくらいなら、陰毛についた乾燥した精液を摘み取る方がましだ。仕事中、サビを聞く前にラジオに向かい局を変えようとして、マジでつまづいて転びそうになったよ！
5,この音楽はとてもとても素晴らしいです。  とてもエネルギーがあり、楽しいです。  子供たちは、これが「ジャズ」アルバムであることなど気にも留めず、この音楽が大好きで、幸せな気分にさせてくれることを知っています。  子供向けの音楽でお金を浪費したり、子供の知性とあなたの耳を侮辱したりしないで、二人が楽しめるものを買ってあげてください。  私たちのお気に入りは、「ドゥードゥル」と「ポテトチップス」です。  1ペニー（約100円）以上の価値があります。
5,今まで聴いた子供向けCDの中でもトップクラスです。  曲はどれもキャッチーで、聴いていて楽しいです。  ジャズの入門編としても最適です
5,ザ・マイト・ビー・ジャイアンツ初のメジャーレーベルのアルバムである。  インディペンデント・レーベルのアルバムで確立したサウンドを継承し、さらに発展させた。  TMBGの中で最も人気のあるアルバムだろう。  Birdhouse in Your Soul」、「Istanbul」、「Particle Man」など、TMBGの名曲が数多く収録されている。  ジョンズから期待されているキャッチーなメロディーとバカバカしい歌詞がぎっしり詰まっています。  すべてのThey Might Be Giantsファン必携の1枚です。
5,うちの22ヶ月の子供は、パパやママが我慢して聴く子供向けの曲より、この音楽が大好きです。
5,"Hot Hot HeatのMake up the Breakdownは、Knock Knockに続く作品です。個人的には、Hot Hot Heatの大ファンなら、最も好きなアルバムのひとつになるはずです。一曲一曲がユニークで、踊りたくなるようなキャッチーなビートが特徴です。1曲目の『Naked in the City Again』は最高です。  2曲目のNo, Not Nowは、思わず動き出さずにはいられない人気曲です。Get in or Get outはキーボードのパートが最高にRADなんです。このアルバムの最大のヒット曲であるBandagesは、Hot Hot Heatのキャリアを後押しするような曲で、この1曲だけでこのアルバムを購入する価値があると思います。Oh Goddamnitはとても素晴らしい曲で、歌詞もとても楽しいので、一緒に歌ってしまうこと間違いなしです。次の曲Avedaは、多くの人が疑問に思っていることです：元カノかヘアプロダクトか？どちらにしても、この曲は楽しめると思います。この街は、多くの人がクレイジーなファンについて書かれたものだと信じていますが、聴いてみて自分で判断してください。Talk to Me, Dance with Meも大ヒットし、ファンをHot Hot Heatにさせた。この曲は、私を踊らせ、歌わせ、その他あらゆることをお気に入りの曲に合わせてさせてくれます。Save us S.O.S.では、リードシンガー、スティーブ・ベイズの声の深みが気に入り、心が溶けるような気持ちになります。Hot Hot Heatの通常の曲とは全く違うが、In Cairoも素晴らしい曲で、Make up the Breakdownの素晴らしいエンディングを飾っている。このCDは何時間でもステレオに置いておけるだろう。曲は中毒性があるので、このアルバムは間違いなくお金を払う価値がある。"
5,素晴らしいハーモニー、素晴らしい声、美しい音楽。  このグループはもっと知られてもいいし、大成功してもいいはずだ
1,私が初めてAntony and the Johnsonsを知ったのは、Rufus Wainwrightのことを教えてくれた友人からで、とても素晴らしい新しいアーティストを聴いていたそうです。  私は地元のBarnes & NobleでこのAntonyについて調べてみることにしたのですが、そこで発見したのはとても、とても残念なことでした。  音楽は楽器的によくできていて、レイヤーも非常によくできているのですが、アントニーの声は非常に大げさで、偽物なのです。  偽物の声というのは、ビブラートの使い方のことで、非常に速く、無理矢理で羊のような（自然ではない）方法で使われているのです。  プロの声楽家たちは、ビブラートの正しい使い方は、1秒間に5～6回の振動を与えることだと教えています。  アントニーの「訓練された」響きの声は、この領域ではまったく訓練されていないことがわかる。  このバンドとレコードについて、私が非常に恐ろしいと思うもう一つの点は、曲の歌詞です。  このアーティストは、自分の性別に戸惑い、あるいは後悔しているようで、悲痛な叫びを表現している。  この歌詞は、聴き手にとって何の魅力も関係もなく、そのために聴き手は、音楽そのものを哀れみ、ほとんど迷惑に思ってしまう。  私の結論は、これはひどいレコードであり、この歌手はプロのボイスレッスンを受ける必要がある...そして助けを求める。
5,"セント・エルスホェアは、クラブ・ビートのエネルギーと、シーローのソウルフルな（そして時には切ない）声、そして示唆に富む歌詞が組み合わさっている。フレンティックな ""Go-Go Gospel ""から内省的な ""Just a Thought ""まで、さまざまなスタイルが楽しめる。購入の必需品です。"
2,この音楽は、タイトル通り、「クラシック」という言葉で説明・定義することができます。私はこの音楽が、クラブで何年もかけて演奏されてきた曲の歴史を持つ、非常にクラブ的な素材になると思っていました。CDの大部分は、ゴシックな「クラブ」素材とは思えず、特にタイプ-Oを投入しています。このCDにはとても失望しました。あちこちで何曲か聴きましたが、もしあなたが古いものに興味があるなら、これはあなたのためのものです。
4,Gothic ClubのミックスCDを家に置いてきてしまったので、これを買うことにしました。まずハマったのは、バウハウスの「Bela Lugosi's Dead」のライブ録音で、これはクラシックなゴス音楽です。好きなバンドもあれば、そうでないバンドもありますが、全体としてこれは素晴らしいCDです。私のお気に入りは2枚目のCDに収録されている「Sheryl」です。このCDは、冷やかしに、ダンスに、あるいは無教養な大衆にゴス音楽の本当の姿を見せるのに最適なCDです。
2,"トニー・ヤヨの『Thoughts of a Predicate Felon』は、トニー・ヤヨがこのアルバムで自分が何者なのか（あるいは何者であるべきなのか）わからないという事実に苦しんでいる。このアルバムを聴く前、私はヤヨの犯罪生活に関する硬質で描写的な韻を踏むことを期待していた。しかし、残念なことに、私も多くの人と同じように、""Tattle Teller""、""Curious""、""Project Princess ""などのトラックに耳を傾けてしまった。前科者であるヤヨが、もっとハードコアなもの、もっと良いものを期待している聴衆に対して、このようなメッセージを発信するのはいかがなものか。Live By The Gun ""や ""Homicide ""などのトラックで、ヤヨは私が前述した「よりハードな」歌詞を望んでいることを表現しているが、このようなトラックはほとんどないだろう。トニー・ヤヨが次のアルバムでこのようなことに集中できることを望むが、今のところ、このデビュー・アルバムは単に期待外れであった。"
1,このアルバムはつまらないと思う。仕事をしてないんじゃないかと思う。Lil Jonはワナビーだと思う。彼らは本当の仕事を得る必要があると思う。このアルバムは、買ってすぐに壊れてしまったと思う。このCDは、ほとんどのCDプレーヤーで再生できないと思う。私はこれを勧めないと思う。もう十分だと思う。私は今、地獄に落ちていると思う。どうせそうだろう魂を売ったんだから
4,このアルバムは、65歳にしてチャートのトップに立った伝説の人物による傑作です。ディランは非凡な才能を持ち、年を重ねるごとにさらに良くなっているように思える。どの曲も格別で、彼の素晴らしい才能と作曲能力を示している。
5,"この曲を初めて聴いたのは、去年の夏、家のペンキ塗りをしているときでした。新鮮な空気と太陽の下で（そして最近結婚した）、この曲はすぐに私の興味を引き、聴くたびにますます魅力的になっていくようでした。この曲は、（サビの部分は）やや「ロック」と呼べるかもしれませんが、この曲の憧れ、情熱的な愛の要素を伝えているのは、アレックス・バンドのボーカルです。彼は、この曲をただのロックソングにするのではなく、ロマンチックでユニークなものにすることに成功しています。チャドのボーカルはアレックスと大差ないのですが（どちらも男性的で力強い）、チャドのバージョンは「良い曲」であり、アレックスの歌唱は「素晴らしい曲」に仕上がっていると感じます。チャドの声は他の曲では素晴らしいのですが、このタイプの曲では、過度に威圧的で怒ったような声になっています。女性の立場からすると、アレックスの歌い方だと「付き合おう」と思わせることができるのに、チャドの歌い方だと「怖い」と思ってしまう！時には、一人のヴォーカリストがその曲を歌うことが「運命」であり、その曲を作るか壊すかのどちらかであることもある。1999年の ""Smooth ""を思い浮かべてください。ロブ・トーマスの歌唱は、あの曲をヒットさせるのに貢献した。この場合、アレックスはその仕事に最適な人物だ。"
5,"アーロ・ガスリー、タジ・マハル、ティム・オブライエンといったフォークシーンを代表するアーティストに、ブルーグラス奏者のティム・オブライエン、ロンダ・ヴィンセント、ブルースピックのケブ・モ、ガイ・デイビス、エリック・ビブ、そしてロジー・フローレスといったアメリカーナ・カントリーの面々が加わった素晴らしいキッズミュージックセットです...。素晴らしいラインナップであることは確かですが、それ以上にソングライティングの質の高さ、そして実際に子供たちに親しまれていることが重要なのです。  これは本当に楽しいアルバムです！  このアルバムは本当に楽しいアルバムです！楽しいというのは、小さな子供たちが実際にこのアルバムを気に入るかもしれないということであり、もしあなたが彼らにこのアルバムを聞かせたら一緒に歌うかもしれません。  ブリングブラング」、「バナナフォン」、「ベリーボタンソング」など、くだらない曲がたくさんある。  また、""Red, Red Robin ""のように元気な曲もあれば、""Man Named All The Animals ""のように教訓的な曲もあり、さらに、タジ・マハールの素晴らしい ""Don't You Push Me Down ""のように自己主張やコミュニケーションのスキルを模した曲もあり、不快な状況で様々な子供たちが自分自身を主張し、そのような曲もあります。  私はこのアルバムがとても好きで、これから何年も子供に聴かせようと思っている。"
5,今回のダニエルは最高です。1982年の今、あなたがまだ「アーチー・バンカーズ・プレイス」に出演していたらと思うと。かわいそうに、これからは私があなたのメインレビュアーになりますよ。なぜ、その素晴らしい声と演技の才能をニューヨークに隠しているんだ。カリフォルニア州モロベイのMirror Vision Inc.で働かせたいくらいだ。レコード会社で働かせたい。近いうちにコンサートでお会いする予定ですが、良い秋をお過ごしでしょうか。私はよくあなたのことを考え、いつも他の人にあなたの明るい星のことを話します、私はもっとあなたのことを考えたい、あなたは私に会ったことがなく、私たちは遠くなったことを知っていますが、あなたはまだ私の人生の謎です、私のためにあなたのお父さんとお母さんにこんにちはと言ってください、私はカリフォルニア州モロベイからあなたに会いたい、（私はあなたを愛しています）ラブガー
5,"1975年、ジョー・ジャクソンは、子供たちのキャリアを管理するモータウン・レコードにうんざりしていました。そこで彼は、子供たちをエピック・レコードに移籍させた。そこで、モータウンのヘンリー・コスビー、ハル・デイヴィス、さらにベリー・ゴーディーに支配されることなく、エピックは彼らの指揮をフィリデルフィア・ファンク・マイスターのケネス・ギャンブルとレオン・ハフに引き継いだ。彼らは、テディ・ペンダーグラス、MFSB、ハロルド・メルヴィンとブルーノーツ、マクファデンとホワイトヘッドなど、とてつもない成功を収めた。  彼らはジャクソンズのオリジナル曲をスタジオに持ち込み、フィリー・マジックを駆使して、史上最高のソウル・レコードを完成させた。最初から最後まで、""The Jacksons ""は、""Enjoy Yourself ""から始まり、ファンカデリックな ""Style Of Life ""で締めくくる、ファンキーなファンクフェストの頂点から次へとあなたを連れて行きます。子供の頃、このレコードを聴いて、当初は「Good Times」はジャクソンズがあのテレビ番組のテーマをリメイクしたものだと思っていました。しかし、それは純粋なスローファンクだった。Phunk-da-fied-、Phunkalicious、あるいはただ単にPhantastic、The Jackson's Epic Debut is Phat。"
5,私は68歳で、長年のスチュワートファンですが、これは彼のベストの1つです。  他のレビュアーと何が問題なのかわからない。
5,"もしイアン・カーティスが自分の人生のプラグを抜かなかったらどうなっていただろう？  私はジョイ・ディヴィジョンの熱烈なファンですが、ニュー・オーダーの良きファンでもありますから、この質問は難しいですね。  ジョイ・ディヴィジョンはあと1枚か2枚アルバムを作って解散していたかもしれない、と想像しています：ニュー・オーダーは存在しなかったかもしれない。  だから、カーティスが自殺したことは悲劇的だが、ジョイ・ディヴィジョンの残りのメンバーには、ニュー・オーダーとして効果的に再出発するための道が与えられた。  このバンドはJDとは全く異なるが、ニュー・オーダーの最初の作品である「Power, Corruption Lies」では、JDの面影を感じさせるとともに、苦悩とカタルシスの結果であろう新しい創造性を爆発させている。    このアルバムの音楽は、JDのどの作品よりもシンセとドラムを多用したものだが、後のニュー・オーダーの作品ほどではないかもしれない。  1983年にはシンセサイザーとドラムマシンが本領を発揮し、この年にシンセサイザー用のMIDIインターフェースが発明された。また、ニューウェーブ・ムーブメントがようやく固まりつつあった時期でもある。  歴史はさておき、このアルバムは素晴らしい。アップビートで、ポップなダンス・トラックが満載で、まさにニューウェーブの名盤だ。  もしあなたが「Blue Monday」（Orgyのようなひどいバンドでさえヒットさせることができたほど良い曲）のためだけにこのアルバムを買おうとしているなら、本当に驚かされることになりますよ。他の曲も素晴らしいものがたくさんあることに気づくだろう。  「Age of Consent」は私のお気に入りの1つです。  この曲もダンスに最適な曲です。  また、""the Village ""も素晴らしいトラックです。  もしNew Orderのアルバムを2枚買うなら、このアルバムとSubstanceを買ってください。  いくつかの曲は共通ですが、どちらも素晴らしいです。  でも、このアルバムの方が圧倒的に再生回数が多いんだ。  ニューオーダーファンはもちろんだが、ニューウェーブ/'sファンも必携の1枚だ。  しかし、ニューウェーブ/80年代音楽のファンやジョイ・ディヴィジョンのファンも同様にこのアルバムを買うべきでしょう。  このアルバムは、その20年の人生の中で、非常に多くの賞賛を受け、大きな影響を与えたので、現代の音楽ファンなら必ず持っているはずです。  私は強くお勧めする！  -- テッド・ムレーナ"
5,このCDは家族みんなで楽しめるのがいいですね。曲はキャッチーで、知らない人の周りで歌っているのがバレても大したことはない！
2,このCDを手に入れるのが本当に待ち遠しかった。  とても気に入りたいと思いました。  しかし--私にはあまりにもブルーグラス的なのです。  一曲一曲。  1曲か2曲ならいいのですが、どの曲も飽きます。  それに、録音品質もそれほど良くないようです。  言葉はほとんど聞こえないし、ほとんどの子どもは一緒に歌いたがる。  ジェニー・ジェンキンスは楽しい曲だし、シェネンドアは心にしみるほど美しいが、フォー・ザ・キッズやNO！の方がずっと良いCDだ
5,このアルバムは今でも楽しんでいます。どの曲もいいのですが、Hold On、You don't have to worry、Don't Goなど、他の曲より聴くことが多い曲があります。  このアルバムは素晴らしいアルバムで、すぐに売ったり交換したりするつもりはない。
5,このディスクのクルセイダーズの音は最高だ。音楽もアレンジもずっとうまくいっている。
5,エドウィン・マケインという名前がついているものなら、信じて買うべき素晴らしい製品です。彼の作る曲は、心を揺さぶり、インクの一滴一滴まで忠実に再現されています。
